"Cs2","cutoff.step","Power.min","SR.min","Case","n.stage1","n.stage2","n.total.trial","Ce1","Ce2","Power.min","SR.min"
0.8,2,0.85,0.6,1,15,23,167,0.9116758459492877,0.7631020800386017,0.8567,0.6061
0.8,2,0.85,0.6,2,19,17,127,0.9221723445662006,0.850626969429248,0.8504,0.6009
0.8,2,0.85,0.6,3,18,27,144,0.8951356930792067,0.6532796128139424,0.854,0.6862
0.8,2,0.85,0.6,4,18,27,117,0.8951356930792067,0.8027522228578355,0.854,0.6648
0.85,2,0.85,0.6,1,13,25,165,0.9205144536913293,0.7631020800386017,0.8564,0.6077
0.85,2,0.85,0.6,2,13,24,124,0.9213188382749493,0.8491914637186325,0.8525,0.6279
0.85,2,0.85,0.6,3,19,27,146,0.914236519769045,0.6538452552157984,0.8503,0.6857
0.85,2,0.85,0.6,4,19,27,119,0.914236519769045,0.7928171524393973,0.8503,0.67
0.9,2,0.85,0.6,1,13,25,165,0.9205144536913293,0.7631020800386017,0.8564,0.6077
0.9,2,0.85,0.6,2,13,24,124,0.9213188382749493,0.8491914637186325,0.8525,0.6279
0.9,2,0.85,0.6,3,17,29,150,0.9170578597027477,0.6606779777935233,0.8546,0.6984
0.9,2,0.85,0.6,4,17,29,121,0.9170578597027477,0.7921920213050306,0.8546,0.6798
0.9,2,0.9,0.65,1,15,30,195,0.9269637590928043,0.7436528540852152,0.9065,0.7082
0.9,2,0.9,0.65,2,15,30,150,0.9269637590928043,0.8331448654745471,0.9065,0.7369
0.9,2,0.9,0.65,3,19,35,178,0.9216819242753083,0.6621711642639639,0.9054,0.7705
0.9,2,0.9,0.65,4,19,35,143,0.9216819242753083,0.8061192533099064,0.9054,0.746
0.95,2,0.8,0.65,1,11,24,151,0.923079852781989,0.7109317831346704,0.8411,0.6509
0.95,2,0.8,0.65,2,10,29,127,0.9197550896513655,0.8401274034869768,0.8476,0.651
0.95,2,0.8,0.65,3,11,27,130,0.9266598556040608,0.6566633923768322,0.8038,0.6521
0.95,2,0.8,0.65,4,10,30,110,0.92246626453947,0.7867476710815308,0.8061,0.6565
0.9,2,0.8,0.65,1,13,23,157,0.9221723445662006,0.7100233388822,0.8439,0.6578
0.9,2,0.8,0.65,2,12,27,129,0.9107584594215791,0.8401274034869768,0.8517,0.652
0.9,2,0.8,0.65,3,14,26,132,0.9256091449670814,0.64473969673697,0.8054,0.6554
0.9,2,0.8,0.65,4,17,25,109,0.9250398314723421,0.7625971888481325,0.8105,0.6534
0.95,2,0.9,0.65,1,16,28,192,0.9337368392711695,0.686038144031223,0.9012,0.7552
0.95,2,0.9,0.65,2,16,28,148,0.9337368392711695,0.8280359303868586,0.9012,0.7232
0.95,2,0.9,0.65,3,16,37,180,0.9245909239196606,0.668557584943912,0.9041,0.7784
0.95,2,0.9,0.65,4,16,37,143,0.9245909239196606,0.8166126061404083,0.9041,0.7435
0.85,1,0.8,0.7,1,12,28,172,0.9315938686146601,0.6941290169245133,0.8596,0.7059
0.85,1,0.8,0.7,2,12,30,138,0.9295956481195614,0.8304814669793308,0.8806,0.7005
0.85,1,0.8,0.7,3,13,30,146,0.932488285515027,0.6374829065256022,0.8328,0.7093
0.85,1,0.8,0.7,4,13,32,122,0.9290477455724763,0.7921307999073962,0.8645,0.7044
0.9,1,0.85,0.65,1,8,28,152,0.9221723445662006,0.7033785150137467,0.8523,0.6743
0.9,1,0.85,0.65,2,9,30,126,0.93013674262844,0.8401274034869768,0.8539,0.6613
0.9,1,0.85,0.65,3,15,30,150,0.9297878398977649,0.6669202821647748,0.8523,0.6962
0.9,1,0.85,0.65,4,9,33,117,0.9241039604336502,0.8107555709825575,0.8562,0.6878
0.8,1,0.85,0.65,1,12,28,172,0.9315938686146601,0.6941290169245133,0.8596,0.7059
0.8,1,0.85,0.65,2,12,27,129,0.93013674262844,0.84658789314912275,0.8511,0.6524
0.8,1,0.85,0.65,3,16,30,152,0.9255329104104517,0.6607321486893445,0.8563,0.6998
0.8,1,0.85,0.65,4,12,32,120,0.9292994799258422,0.8094449847287403,0.8597,0.6898
0.85,1,0.85,0.65,1,13,26,169,0.9326783852569986,0.7006931117642093,0.8509,0.6898
0.85,1,0.85,0.65,2,12,27,129,0.93013674262844,0.84658789314912275,0.8511,0.6524
0.85,1,0.85,0.65,3,13,31,150,0.9266732787770908,0.6833509426359642,0.8604,0.7006
0.85,1,0.85,0.65,4,13,31,119,0.9266732787770908,0.8110456987114875,0.8604,0.682
0.8,2,0.9,0.65,1,17,28,197,0.9269637590928043,0.6904779535106302,0.902,0.7618
0.8,2,0.9,0.65,2,17,28,152,0.9269637590928043,0.8269134972842314,0.902,0.7313
0.8,2,0.9,0.65,3,23,32,174,0.9052615546132449,0.6674614917722969,0.9055,0.7538
0.8,2,0.9,0.65,4,23,32,142,0.9052615546132449,0.7911183851021198,0.9055,0.7455
