"Cs2","cutoff.step","Power.min","SR.min","Method","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP"
0.95,1,0.85,0.7,"BOP2-OC",166.51,87.24,68.63,77.54,59.95,75.09, ,132.85,86.74,69.96,74.87,59.24,75.09, ,148.72,86.91,73.3,76.31,63.49,81.03, ,120.83,86.5,71.56,75.49,61.45,79
0.95,1,0.85,0.7,"Dunnett",168,96.19,36.88,89.7,33.77,38.71, ,134,96,36.22,85.84,31.49,38.21, ,150,92.92,35.86,82.08,30.62,39.57, ,121,95.5,37.23,84.58,32.09,39.47
0.95,1,0.8,0.7,"BOP2-OC",155.14,9.39,9.39,4.76,4.76,84.95, ,123.98,9.88,9.88,5.17,5.17,84.42, ,137.34,9.3,9.3,4.89,4.89,96.12, ,117.08,9.75,9.75,5.06,5.06,96.04
0.95,1,0.8,0.7,"Dunnett",172,10.02,10.02,5.03,5.03,100, ,138,10.05,10.05,5.07,5.07,100, ,142,10,10,5.04,5.04,100, ,121,10.04,10.04,5.04,5.04,100
0.95,1,0.8,0.7,"BOP2-OC",153.59,8.78,8.78,4.44,4.44,83.56, ,123.33,8.9,8.9,4.66,4.66,83.7, ,137.29,8.25,8.25,4.2,4.2,96.08, ,117.07,8.62,8.62,4.2,4.2,96.03
0.95,1,0.8,0.7,"Dunnett",172,10.02,10.02,5.03,5.03,100, ,138,10.05,10.05,5.07,5.07,100, ,142,10,10,5.04,5.04,100, ,121,10.04,10.04,5.04,5.04,100
0.95,1,0.8,0.7,"BOP2-OC",153.1,8.67,5.64,4.4,2.87,54.93, ,122.74,8.5,5.67,4.57,3.02,55.46, ,137.16,8.33,5.85,4.46,3.08,69.05, ,117.06,8.94,6.3,4.4,3.06,69.2
0.95,1,0.8,0.7,"Dunnett",172,10.02,5.22,5.03,2.61,55.94, ,138,10.05,5,5.07,2.45,55.94, ,142,10,5.21,5.04,2.75,56.05, ,121,10.04,5.12,5.04,2.46,56.02
0.95,1,0.8,0.7,"BOP2-OC",96.65,1.65, ,1.65, ,0, ,77.21,1.26, ,1.25, ,0, ,110.93,3.31, ,3.23, ,0, ,95.14,3.11, ,3.04, ,0
0.95,1,0.8,0.7,"Dunnett",172,7.34,0,7.14,0,0, ,138,7.34,0,7.06,0,0, ,142,7.3,0,7.07,0,0, ,121,7.85,0,7.51,0,0
0.95,1,0.8,0.7,"BOP2-OC",171.99,94.27,94.27,85.39,85.39,100, ,137.98,95.39,95.39,84.5,84.51,99.98, ,142,91.24,91.24,83.09,83.09,100, ,121,93.12,93.12,83.23,83.23,100
0.95,1,0.8,0.7,"Dunnett",172,92.94,92.94,82.16,82.16,100, ,138,92.56,92.56,79.05,79.05,100, ,142,90.03,90.03,78.4,78.4,100, ,121,92.54,92.54,77.24,77.24,100
0.95,1,0.8,0.7,"BOP2-OC",171.93,92.25,92.25,81.59,81.59,99.94, ,137.91,93.72,93.72,80.56,80.56,99.89, ,142,89.52,89.52,80.12,80.12,100, ,121,91.72,91.72,79.92,79.92,100
0.95,1,0.8,0.7,"Dunnett",172,92.94,92.94,82.16,82.16,100, ,138,92.56,92.56,79.05,79.05,100, ,142,90.03,90.03,78.4,78.4,100, ,121,92.54,92.54,77.24,77.24,100
0.95,1,0.8,0.7,"BOP2-OC",169.73,81.47,81.36,66.38,66.38,89.44, ,136.24,83.19,83.1,57.77,57.77,89.86, ,141.83,76.39,76.21,64.37,64.37,86.58, ,120.84,78,77.86,56.65,56.64,86.34
0.95,1,0.8,0.7,"Dunnett",172,87.5,87.5,64.7,64.7,99.98, ,138,87.35,87.35,57.38,57.38,99.98, ,142,81.34,81.34,61.83,61.83,99.91, ,121,83.04,83.04,53.31,53.31,99.96
0.95,1,0.8,0.7,"BOP2-OC",171.56,85.05,76.98,73.54,70.63,79.7, ,137.68,85.36,77.32,65.79,64.17,79.35, ,141.96,82.1,74.44,71.89,68.94,78.72, ,120.99,82.99,75.46,65.67,63.93,78.41
0.95,1,0.8,0.7,"Dunnett",172,92.08,90.46,78.89,77.9,97.61, ,138,91.92,90.31,66.74,66.16,97.52, ,142,87.87,85.67,74.28,73.08,96.33, ,121,90.8,88.5,63.59,62.78,96.75
0.95,1,0.8,0.7,"BOP2-OC",171.65,90.99,78.32,79.44,68.04,85.63, ,137.74,91.78,79.29,77.92,67.1,85.54, ,141.98,88.41,74.83,78.4,66.08,84.76, ,120.98,90.64,76.92,78.28,66.14,84.92
0.95,1,0.8,0.7,"Dunnett",172,92.94,50.93,82.16,44.67,54.9, ,138,92.56,50.2,79.05,42.55,54.66, ,142,90.03,49.37,78.4,42.49,55.32, ,121,92.54,50.68,77.24,42.02,55.05
0.95,1,0.8,0.7,"BOP2-OC",171.62,90.6,77.89,72.05,61.5,85.54, ,137.74,91.83,79.31,64.95,55.69,85.55, ,141.99,88.17,74.39,72.12,60.38,84.78, ,120.98,90.63,76.92,66.6,56.03,84.92
0.95,1,0.8,0.7,"Dunnett",172,92.94,50.93,75.72,40.92,54.9, ,138,92.56,50.2,66.25,35.47,54.66, ,142,90.03,49.37,72.12,38.83,55.32, ,121,92.54,50.68,64.18,34.67,55.05
0.95,1,0.8,0.7,"BOP2-OC",171.85,92.56,75.87,82.22,66.14,82.8, ,137.9,93.25,76.42,81.28,65.3,82.49, ,142,89.97,72.58,81.06,64.39,81.91, ,121,91.77,74.23,80.47,63.82,81.89
0.95,1,0.8,0.7,"Dunnett",172,95.9,36.45,88.9,33.05,38.48, ,138,95.53,35.94,86.1,31.57,38.24, ,142,93.34,37.04,85.31,32.93,40.29, ,121,95.5,37.23,84.58,32.09,39.47
0.95,1,0.8,0.7,"BOP2-OC",168.54,84.03,72.46,73.89,62.87,79.25, ,135.45,83.06,73.16,71.23,62.02,79.17, ,141.8,85.56,69.9,76.58,61.69,78.85, ,120.83,86.5,71.56,75.49,61.45,79
0.95,1,0.8,0.7,"Dunnett",172,95.9,36.45,88.9,33.05,38.48, ,138,95.53,35.94,86.1,31.57,38.24, ,142,93.34,37.04,85.31,32.93,40.29, ,121,95.5,37.23,84.58,32.09,39.47
0.95,1,0.85,0.7,"BOP2-OC",155.14,9.39,9.39,4.76,4.76,84.95, ,123.98,9.88,9.88,5.17,5.17,84.42, ,136.58,9.84,9.84,4.78,4.78,89.18, ,117.08,9.75,9.75,5.06,5.06,96.04
0.95,1,0.85,0.7,"Dunnett",172,10.02,10.02,5.03,5.03,100, ,138,10.05,10.05,5.07,5.07,100, ,150,10,10,5.02,5.02,100, ,121,10.04,10.04,5.04,5.04,100
0.95,1,0.85,0.7,"BOP2-OC",153.59,8.78,8.78,4.44,4.44,83.56, ,123.33,8.9,8.9,4.66,4.66,83.7, ,135.37,9.12,9.12,4.3,4.3,88.2, ,117.07,8.62,8.62,4.2,4.2,96.03
0.95,1,0.85,0.7,"Dunnett",172,10.02,10.02,5.03,5.03,100, ,138,10.05,10.05,5.07,5.07,100, ,150,10,10,5.02,5.02,100, ,121,10.04,10.04,5.04,5.04,100
0.95,1,0.85,0.7,"BOP2-OC",153.1,8.67,5.64,4.4,2.87,54.93, ,122.74,8.5,5.67,4.57,3.02,55.46, ,135.5,9.1,6.13,4.26,2.84,59.92, ,117.06,8.94,6.3,4.4,3.06,69.2
0.95,1,0.85,0.7,"Dunnett",172,10.02,5.22,5.03,2.61,55.94, ,138,10.05,5,5.07,2.45,55.94, ,150,10,5.28,5.02,2.66,56.41, ,121,10.04,5.12,5.04,2.46,56.02
0.95,1,0.85,0.7,"BOP2-OC",96.65,1.65, ,1.65, ,0, ,77.21,1.26, ,1.25, ,0, ,81.86,2.54, ,2.49, ,0, ,95.14,3.11, ,3.04, ,0
0.95,1,0.85,0.7,"Dunnett",172,7.34,0,7.14,0,0, ,138,7.34,0,7.06,0,0, ,150,7.09,0,6.78,0,0, ,121,7.85,0,7.51,0,0
0.95,1,0.85,0.7,"BOP2-OC",171.99,94.27,94.27,85.39,85.39,100, ,137.98,95.39,95.39,84.5,84.51,99.98, ,149.99,93.06,93.06,83.56,83.56,100, ,121,93.12,93.12,83.23,83.23,100
0.95,1,0.85,0.7,"Dunnett",172,92.94,92.94,82.16,82.16,100, ,138,92.56,92.56,79.05,79.05,100, ,150,89.42,89.42,74.02,74.02,100, ,121,92.54,92.54,77.24,77.24,100
0.95,1,0.85,0.7,"BOP2-OC",171.93,92.25,92.25,81.59,81.59,99.94, ,137.91,93.72,93.72,80.56,80.56,99.89, ,149.98,91.76,91.76,80.57,80.57,99.98, ,121,91.72,91.72,79.92,79.92,100
0.95,1,0.85,0.7,"Dunnett",172,92.94,92.94,82.16,82.16,100, ,138,92.56,92.56,79.05,79.05,100, ,150,89.42,89.42,74.02,74.02,100, ,121,92.54,92.54,77.24,77.24,100
0.95,1,0.85,0.7,"BOP2-OC",169.73,81.47,81.36,66.38,66.38,89.44, ,136.24,83.19,83.1,57.77,57.77,89.86, ,149.01,81.79,81.66,66.27,66.28,90.48, ,120.84,78,77.86,56.65,56.64,86.34
0.95,1,0.85,0.7,"Dunnett",172,87.5,87.5,64.7,64.7,99.98, ,138,87.35,87.35,57.38,57.38,99.98, ,150,83.24,83.23,60.97,60.97,99.97, ,121,83.04,83.04,53.31,53.31,99.96
0.95,1,0.85,0.7,"BOP2-OC",171.56,85.05,76.98,73.54,70.63,79.7, ,137.68,85.36,77.32,65.79,64.17,79.35, ,149.87,85.42,78.05,73.74,71.17,81.31, ,120.99,82.99,75.46,65.67,63.93,78.41
0.95,1,0.85,0.7,"Dunnett",172,92.08,90.46,78.89,77.9,97.61, ,138,91.92,90.31,66.74,66.16,97.52, ,150,88.52,86.58,70.25,69.36,96.84, ,121,90.8,88.5,63.59,62.78,96.75
0.95,1,0.85,0.7,"BOP2-OC",171.65,90.99,78.32,79.44,68.04,85.63, ,137.74,91.78,79.29,77.92,67.1,85.54, ,149.94,90.66,78.59,78.4,67.59,86.79, ,120.98,90.64,76.92,78.28,66.14,84.92
0.95,1,0.85,0.7,"Dunnett",172,92.94,50.93,82.16,44.67,54.9, ,138,92.56,50.2,79.05,42.55,54.66, ,150,89.42,48.56,74.02,39.57,54.87, ,121,92.54,50.68,77.24,42.02,55.05
0.95,1,0.85,0.7,"BOP2-OC",171.62,90.6,77.89,72.05,61.5,85.54, ,137.74,91.83,79.31,64.95,55.69,85.55, ,149.94,90.9,78.74,72.08,61.94,86.78, ,120.98,90.63,76.92,66.6,56.03,84.92
0.95,1,0.85,0.7,"Dunnett",172,92.94,50.93,75.72,40.92,54.9, ,138,92.56,50.2,66.25,35.47,54.66, ,150,89.42,48.56,65.96,35.12,54.87, ,121,92.54,50.68,64.18,34.67,55.05
0.95,1,0.85,0.7,"BOP2-OC",171.85,92.56,75.87,82.22,66.14,82.8, ,137.9,93.25,76.42,81.28,65.3,82.49, ,149.96,92.01,76.15,80.85,65.69,83.61, ,121,91.77,74.23,80.47,63.82,81.89
0.95,1,0.85,0.7,"Dunnett",172,95.9,36.45,88.9,33.05,38.48, ,138,95.53,35.94,86.1,31.57,38.24, ,150,92.92,35.86,82.08,30.62,39.57, ,121,95.5,37.23,84.58,32.09,39.47
0.95,1,0.85,0.7,"BOP2-OC",168.54,84.03,72.46,73.89,62.87,79.25, ,135.45,83.06,73.16,71.23,62.02,79.17, ,148.72,86.91,73.3,76.31,63.49,81.03, ,120.83,86.5,71.56,75.49,61.45,79
0.95,1,0.85,0.7,"Dunnett",172,95.9,36.45,88.9,33.05,38.48, ,138,95.53,35.94,86.1,31.57,38.24, ,150,92.92,35.86,82.08,30.62,39.57, ,121,95.5,37.23,84.58,32.09,39.47
0.95,2,0.8,0.7,"BOP2-OC",126.95,9.88,9.88,5.07,5.07,64.03, ,111.26,10.08,10.08,5.18,5.18,71.97, ,120.65,9.9,9.9,4.72,4.72,79.56, ,103.01,9.1,9.1,5.06,5.06,78.51
0.95,2,0.8,0.7,"Dunnett",173,10.02,10.02,5.02,5.02,100, ,139,10.01,10.01,5.01,5.01,100, ,146,10.17,10.17,5.12,5.12,100, ,123,10.03,10.03,5.04,5.04,100
0.95,2,0.8,0.7,"BOP2-OC",120.3,8.91,8.91,4.38,4.38,58.83, ,109.35,8.86,8.86,4.28,4.28,70.06, ,116.48,9.13,9.13,4.45,4.45,76.19, ,101.99,8.37,8.37,4.38,4.38,77.41
0.95,2,0.8,0.7,"Dunnett",173,10.02,10.02,5.02,5.02,100, ,139,10.01,10.01,5.01,5.01,100, ,146,10.17,10.17,5.12,5.12,100, ,123,10.03,10.03,5.04,5.04,100
0.95,2,0.8,0.7,"BOP2-OC",120.43,8.48,5.25,4.34,2.77,37.18, ,109.22,8.87,5.6,4.27,2.74,44.2, ,115.58,8.62,5.7,4.25,2.76,49.49, ,101.51,8.18,5.4,4.46,2.95,50.29
0.95,2,0.8,0.7,"Dunnett",173,10.02,5.32,5.02,2.57,55.88, ,139,10.01,4.81,5.01,2.25,47.28, ,146,10.17,5.25,5.12,2.71,56.36, ,123,10.03,4.93,5.04,2.39,47.38
0.95,2,0.8,0.7,"BOP2-OC",61.14,1.19, ,1.18, ,0, ,62.25,1.98, ,1.94, ,0, ,47.95,1.44, ,1.41, ,0, ,51.21,1.5, ,1.47, ,0
0.95,2,0.8,0.7,"Dunnett",173,7.32,0,7.23,0,0, ,139,7.36,0,7.11,0,0, ,146,7.49,0,7.32,0,0, ,123,7.9,0,7.57,0,0
0.95,2,0.8,0.7,"BOP2-OC",172.71,96.14,96.14,86.57,86.57,99.77, ,138.94,95.66,95.65,84.78,84.78,99.94, ,145.97,92.42,92.42,84.22,84.22,99.98, ,122.99,92.89,92.89,84.26,84.26,99.99
0.95,2,0.8,0.7,"Dunnett",173,92.78,92.78,83.68,83.68,100, ,139,93.34,93.34,81.45,81.45,100, ,146,91.5,91.5,81.05,81.05,100, ,123,91.48,91.48,79.03,79.03,100
0.95,2,0.8,0.7,"BOP2-OC",170.69,94.04,94.04,82.94,82.93,98.19, ,138.61,93.95,93.95,81.28,81.29,99.61, ,145.4,90.38,90.38,80.67,80.67,99.52, ,122.93,91.17,91.17,80.58,80.58,99.92
0.95,2,0.8,0.7,"Dunnett",173,92.78,92.78,83.68,83.68,100, ,139,93.34,93.34,81.45,81.45,100, ,146,91.5,91.5,81.05,81.05,100, ,123,91.48,91.48,79.03,79.03,100
0.95,2,0.8,0.7,"BOP2-OC",158.06,78.58,78.45,63.64,63.64,82.4, ,134.05,82.7,82.58,57.81,57.81,88.11, ,140.05,78.33,78.16,65.37,65.36,87.38, ,121.02,82.96,82.9,61.94,61.95,92.7
0.95,2,0.8,0.7,"Dunnett",173,87.63,87.63,68.38,68.38,99.98, ,139,87.12,87.12,58.13,58.13,100, ,146,82.26,82.26,60.65,60.65,99.96, ,123,82.92,82.92,51.96,51.96,100
0.95,2,0.8,0.7,"BOP2-OC",167.11,83.13,72.94,69.64,66.44,74.15, ,137.62,84.79,75.5,64.49,62.81,77.11, ,144.23,82.09,74.22,71.42,68.37,77.68, ,122.63,86.09,79.25,69.88,68.12,82.98
0.95,2,0.8,0.7,"Dunnett",173,92.07,90.44,79.44,78.44,97.58, ,139,91.77,90.5,69.66,69.12,98.24, ,146,89.11,86.9,75.75,74.48,96.58, ,123,90.76,89.07,68.23,67.55,97.68
0.95,2,0.8,0.7,"BOP2-OC",168.33,91.59,75.1,80.02,65.39,78.88, ,138.01,93.01,77.34,79.62,65.92,82.16, ,144.56,88.72,75.28,78.32,66.32,83.96, ,122.74,89.75,79.14,78.89,69.24,88.13
0.95,2,0.8,0.7,"Dunnett",173,92.78,50.61,83.68,45.27,54.87, ,139,93.34,47.33,81.45,41.8,50.17, ,146,91.5,49.96,81.05,43.86,55.13, ,123,91.48,45.92,79.03,39.07,50.65
0.95,2,0.8,0.7,"BOP2-OC",168.32,91.69,75.2,72.75,59.38,78.9, ,138.01,92.7,76.87,66.46,54.71,82.19, ,144.56,88.65,75.3,72.14,60.99,83.97, ,122.74,89.7,79.07,67.89,59.52,88.13
0.95,2,0.8,0.7,"Dunnett",173,92.78,50.61,77.16,41.61,54.87, ,139,93.34,47.33,69.58,35.91,50.17, ,146,91.5,49.96,74.64,40.24,55.13, ,123,91.48,45.92,67.09,32.9,50.65
0.95,2,0.8,0.7,"BOP2-OC",170.85,94.47,73.89,84.18,64.65,77.45, ,138.55,94.68,75.41,82.52,64.29,79.86, ,145.48,90.84,73.3,81.67,64.9,81.47, ,122.91,91.26,76.6,81.14,67.09,84.79
0.95,2,0.8,0.7,"Dunnett",173,95.83,36.29,90.11,33.46,38.48, ,139,95.93,32.86,87.68,30,34.17, ,146,94.46,36.87,87.22,33.3,39.75, ,123,94.97,32.8,86.39,28.95,35.25
0.95,2,0.8,0.7,"BOP2-OC",154.8,79.02,64.7,69.8,56.31,68.19, ,133.94,86.38,70.9,74.67,60.24,75.56, ,136.39,80.66,67.86,71.6,59.43,75.7, ,119.93,85.47,73.43,75.42,64.05,81.69
0.95,2,0.8,0.7,"Dunnett",173,95.83,36.29,90.11,33.46,38.48, ,139,95.93,32.86,87.68,30,34.17, ,146,94.46,36.87,87.22,33.3,39.75, ,123,94.97,32.8,86.39,28.95,35.25
0.95,1,0.85,0.7,"BOP2-OC",155.14,9.39,9.39,4.76,4.76,84.95, ,123.98,9.88,9.87,5.17,5.17,84.42, ,136.58,9.84,9.84,4.78,4.78,89.18, ,117.08,9.75,9.75,5.06,5.06,96.04
0.95,1,0.85,0.7,"Dunnett",172,10.02,10.02,5.03,5.03,100, ,138,10.05,10.05,5.07,5.07,100, ,150,10,10,5.02,5.02,100, ,121,10.04,10.04,5.04,5.04,100
0.95,1,0.85,0.7,"BOP2-OC",153.59,8.77,8.78,4.44,4.44,83.56, ,123.33,8.88,8.88,4.66,4.66,83.7, ,135.37,9.12,9.12,4.3,4.3,88.2, ,117.07,8.62,8.62,4.2,4.2,96.03
0.95,1,0.85,0.7,"Dunnett",172,10.02,10.02,5.03,5.03,100, ,138,10.05,10.05,5.07,5.07,100, ,150,10,10,5.02,5.02,100, ,121,10.04,10.04,5.04,5.04,100
0.95,1,0.85,0.7,"BOP2-OC",153.1,8.65,5.64,4.39,2.87,54.93, ,122.74,8.49,5.66,4.57,3.02,55.46, ,135.5,9.1,6.13,4.26,2.84,59.92, ,117.06,8.94,6.3,4.4,3.06,69.2
0.95,1,0.85,0.7,"Dunnett",172,10.02,5.22,5.03,2.61,55.94, ,138,10.05,5,5.07,2.45,55.94, ,150,10,5.28,5.02,2.66,56.41, ,121,10.04,5.12,5.04,2.46,56.02
0.95,1,0.85,0.7,"BOP2-OC",96.65,1.27, ,1.27, ,0, ,77.21,1.25, ,1.24, ,0, ,81.86,2.54, ,2.49, ,0, ,95.14,3.11, ,3.04, ,0
0.95,1,0.85,0.7,"Dunnett",172,7.34,0,7.14,0,0, ,138,7.34,0,7.06,0,0, ,150,7.09,0,6.78,0,0, ,121,7.85,0,7.51,0,0
0.95,1,0.85,0.7,"BOP2-OC",171.99,94.27,94.27,85.39,85.39,100, ,137.98,95.39,95.39,84.5,84.51,99.98, ,149.99,93.06,93.06,83.56,83.56,100, ,121,93.12,93.12,83.23,83.23,100
0.95,1,0.85,0.7,"Dunnett",172,92.94,92.94,82.16,82.16,100, ,138,92.56,92.56,79.05,79.05,100, ,150,89.42,89.42,74.02,74.02,100, ,121,92.54,92.54,77.24,77.24,100
0.95,1,0.85,0.7,"BOP2-OC",171.93,92.22,92.22,81.56,81.56,99.94, ,137.91,93.72,93.72,80.56,80.56,99.89, ,149.98,91.76,91.76,80.57,80.57,99.98, ,121,91.72,91.72,79.92,79.92,100
0.95,1,0.85,0.7,"Dunnett",172,92.94,92.94,82.16,82.16,100, ,138,92.56,92.56,79.05,79.05,100, ,150,89.42,89.42,74.02,74.02,100, ,121,92.54,92.54,77.24,77.24,100
0.95,1,0.85,0.7,"BOP2-OC",169.73,81.44,81.34,66.35,66.35,89.44, ,136.24,83.19,83.1,57.77,57.77,89.86, ,149.01,81.79,81.66,66.27,66.28,90.48, ,120.84,78,77.86,56.65,56.64,86.34
0.95,1,0.85,0.7,"Dunnett",172,87.5,87.5,64.7,64.7,99.98, ,138,87.35,87.35,57.38,57.38,99.98, ,150,83.24,83.23,60.97,60.97,99.97, ,121,83.04,83.04,53.31,53.31,99.96
0.95,1,0.85,0.7,"BOP2-OC",171.56,85.03,76.97,73.52,70.62,79.7, ,137.68,85.36,77.32,65.79,64.17,79.35, ,149.87,85.42,78.05,73.74,71.17,81.31, ,120.99,82.99,75.46,65.67,63.93,78.41
0.95,1,0.85,0.7,"Dunnett",172,92.08,90.46,78.89,77.9,97.61, ,138,91.92,90.31,66.74,66.16,97.52, ,150,88.52,86.58,70.25,69.36,96.84, ,121,90.8,88.5,63.59,62.78,96.75
0.95,1,0.85,0.7,"BOP2-OC",171.65,90.42,78.32,78.92,68.04,85.63, ,137.74,91.78,79.29,77.92,67.1,85.54, ,149.94,90.66,78.59,78.4,67.59,86.79, ,120.98,90.64,76.92,78.28,66.14,84.92
0.95,1,0.85,0.7,"Dunnett",172,92.94,50.93,82.16,44.67,54.9, ,138,92.56,50.2,79.05,42.55,54.66, ,150,89.42,48.56,74.02,39.57,54.87, ,121,92.54,50.68,77.24,42.02,55.05
0.95,1,0.85,0.7,"BOP2-OC",171.62,90.05,77.89,71.56,61.5,85.54, ,137.74,91.83,79.31,64.95,55.69,85.55, ,149.94,90.9,78.74,72.08,61.94,86.78, ,120.98,90.63,76.92,66.6,56.03,84.92
0.95,1,0.85,0.7,"Dunnett",172,92.94,50.93,75.72,40.92,54.9, ,138,92.56,50.2,66.25,35.47,54.66, ,150,89.42,48.56,65.96,35.12,54.87, ,121,92.54,50.68,64.18,34.67,55.05
0.95,1,0.85,0.7,"BOP2-OC",171.85,92.38,75.87,82.04,66.14,82.8, ,137.9,93.25,76.42,81.28,65.3,82.49, ,149.96,92.01,76.15,80.85,65.69,83.61, ,121,91.77,74.23,80.47,63.82,81.89
0.95,1,0.85,0.7,"Dunnett",172,95.9,36.45,88.9,33.05,38.48, ,138,95.53,35.94,86.1,31.57,38.24, ,150,92.92,35.86,82.08,30.62,39.57, ,121,95.5,37.23,84.58,32.09,39.47
0.95,1,0.85,0.7,"BOP2-OC",168.54,81.28,72.17,71.32,62.64,79.25, ,135.45,83.06,73.16,71.23,62.02,79.17, ,148.72,86.91,73.3,76.31,63.49,81.03, ,120.83,86.5,71.56,75.49,61.45,79
0.95,1,0.85,0.7,"Dunnett",172,95.9,36.45,88.9,33.05,38.48, ,138,95.53,35.94,86.1,31.57,38.24, ,150,92.92,35.86,82.08,30.62,39.57, ,121,95.5,37.23,84.58,32.09,39.47
0.95,2,0.8,0.7,"BOP2-OC",118.61,9.49,9.49,5.18,5.18,45.01, ,104.6,10.13,10.13,5.12,5.12,53.1, ,120.65,9.9,9.9,4.72,4.72,79.56, ,103.01,9.1,9.1,5.06,5.06,78.51
0.95,2,0.8,0.7,"Dunnett",178,10.02,10.02,5.02,5.02,100, ,144,10.1,10.1,5.05,5.05,100, ,146,10.17,10.17,5.12,5.12,100, ,123,10.03,10.03,5.04,5.04,100
0.95,2,0.8,0.7,"BOP2-OC",110.55,7.58,7.58,4.12,4.12,37.55, ,100.9,8.91,8.92,4.46,4.46,48.69, ,116.48,9.13,9.13,4.45,4.45,76.19, ,101.99,8.37,8.37,4.38,4.38,77.41
0.95,2,0.8,0.7,"Dunnett",178,10.02,10.02,5.02,5.02,100, ,144,10.1,10.1,5.05,5.05,100, ,146,10.17,10.17,5.12,5.12,100, ,123,10.03,10.03,5.04,5.04,100
0.95,2,0.8,0.7,"BOP2-OC",110.89,7.8,5.16,4.04,2.74,24.66, ,100.9,9.06,5.58,4.48,2.79,29.89, ,115.58,8.62,5.7,4.25,2.76,49.49, ,101.51,8.18,5.4,4.46,2.95,50.29
0.95,2,0.8,0.7,"Dunnett",178,10.02,5.36,5.02,2.58,56.04, ,144,10.1,5.2,5.05,2.54,55.95, ,146,10.17,5.25,5.12,2.71,56.36, ,123,10.03,4.93,5.04,2.39,47.38
0.95,2,0.8,0.7,"BOP2-OC",72.96,0.34, ,0.34, ,0, ,64.9,0.5, ,0.5, ,0, ,47.95,1.44, ,1.41, ,0, ,51.21,1.5, ,1.47, ,0
0.95,2,0.8,0.7,"Dunnett",178,6.94,0,6.84,0,0, ,144,7.52,0,7.31,0,0, ,146,7.49,0,7.32,0,0, ,123,7.9,0,7.57,0,0
0.95,2,0.8,0.7,"BOP2-OC",177.83,96.63,96.63,87.77,87.77,99.84, ,143.96,96.88,96.88,86.36,86.36,99.96, ,145.97,92.42,92.42,84.22,84.22,99.98, ,122.99,92.89,92.89,84.26,84.26,99.99
0.95,2,0.8,0.7,"Dunnett",178,93.48,93.48,84.9,84.9,100, ,144,95.03,95.03,84.5,84.5,100, ,146,91.5,91.5,81.05,81.05,100, ,123,91.48,91.48,79.03,79.03,100
0.95,2,0.8,0.7,"BOP2-OC",174.59,93.02,93.02,82.28,82.28,96.84, ,143.34,95.12,95.12,82.3,82.31,99.22, ,145.4,90.38,90.38,80.67,80.67,99.52, ,122.93,91.17,91.17,80.58,80.58,99.92
0.95,2,0.8,0.7,"Dunnett",178,93.48,93.48,84.9,84.9,100, ,144,95.03,95.03,84.5,84.5,100, ,146,91.5,91.5,81.05,81.05,100, ,123,91.48,91.48,79.03,79.03,100
0.95,2,0.8,0.7,"BOP2-OC",160.09,77.28,77.16,62.71,62.71,81.29, ,137.07,85.15,85.05,58.75,58.75,89.46, ,140.05,78.33,78.16,65.37,65.36,87.38, ,121.02,82.96,82.9,61.94,61.95,92.7
0.95,2,0.8,0.7,"Dunnett",178,88.2,88.2,71.29,71.29,99.98, ,144,87.78,87.78,57.19,57.19,99.99, ,146,82.26,82.26,60.65,60.65,99.96, ,123,82.92,82.92,51.96,51.96,100
0.95,2,0.8,0.7,"BOP2-OC",170.03,83.47,75.28,71.92,69.03,76.59, ,141.62,88.2,79.9,67.88,66.37,81.36, ,144.23,82.09,74.22,71.42,68.37,77.68, ,122.63,86.09,79.25,69.88,68.12,82.98
0.95,2,0.8,0.7,"Dunnett",178,92.53,91.04,80.97,80.05,97.89, ,144,93.88,92.29,72.36,71.7,97.78, ,146,89.11,86.9,75.75,74.48,96.58, ,123,90.76,89.07,68.23,67.55,97.68
0.95,2,0.8,0.7,"BOP2-OC",171.87,89.61,79.02,78.2,68.72,83, ,142.3,92.74,82.49,79.01,70.06,86.6, ,144.56,88.72,75.28,78.32,66.32,83.96, ,122.74,89.75,79.14,78.89,69.24,88.13
0.95,2,0.8,0.7,"Dunnett",178,93.48,51.4,84.9,46.39,55.23, ,144,95.03,51.57,84.5,45.47,54.58, ,146,91.5,49.96,81.05,43.86,55.13, ,123,91.48,45.92,79.03,39.07,50.65
0.95,2,0.8,0.7,"BOP2-OC",171.87,89.83,79.26,70.97,62.38,83, ,142.3,92.96,82.66,65.76,57.98,86.61, ,144.56,88.65,75.3,72.14,60.99,83.97, ,122.74,89.7,79.07,67.89,59.52,88.13
0.95,2,0.8,0.7,"Dunnett",178,93.48,51.4,78.61,42.74,55.23, ,144,95.03,51.57,72.73,38.91,54.58, ,146,91.5,49.96,74.64,40.24,55.13, ,123,91.48,45.92,67.09,32.9,50.65
0.95,2,0.8,0.7,"BOP2-OC",175.46,93.57,78.33,83.17,68.52,82.16, ,143.34,95.08,80.25,82.45,68.41,83.97, ,145.48,90.84,73.3,81.67,64.9,81.47, ,122.91,91.26,76.6,81.14,67.09,84.79
