"Cs2","cutoff.step","Power.min","SR.min","Method","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP"
0.95,1,0.8,0.65,"BOP2-OC",146.05,77.68,77.39,60.15,60.15,85.54, ,107.71,75.86,75.62,54.5,54.49,83.61, ,131.32,75.61,75.46,60.3,60.3,86.22, ,101.27,74.51,74.26,53.63,53.63,85.46
0.95,1,0.8,0.65,"Dunnett",148,81.88,81.88,63.3,63.3,99.98, ,112,80.78,80.77,50.36,50.36,99.93, ,132,79.04,79.04,59.25,59.25,99.87, ,103,78.6,78.6,50.38,50.38,99.91
0.95,1,0.8,0.65,"BOP2-OC",147.55,81.44,72.11,67.2,64.16,74.95, ,110.86,80.76,71.11,61.68,59.33,73.76, ,131.88,81.34,73.07,68.51,65.63,77.61, ,102.72,78.94,70.39,60.5,58.44,74.76
0.95,1,0.8,0.65,"Dunnett",148,89.22,87.05,74.54,73.43,96.58, ,112,89.66,87.33,59.91,59.17,96.46, ,132,84.67,82.03,71.98,70.47,95.43, ,103,83.75,81.55,58.18,57.21,96.67
0.95,1,0.8,0.65,"BOP2-OC",147.69,90.61,73.33,75.85,61.04,80.84, ,111.03,90.14,70.98,76.9,60.36,77.89, ,131.92,87.6,72.91,73.98,61.3,83.24, ,102.79,87.46,71.06,74.73,60.4,81.05
0.95,1,0.8,0.65,"Dunnett",148,91.33,49.61,78.81,42.39,54.92, ,112,91.51,50.3,73.65,40.12,55.28, ,132,86.94,47.58,75.96,41.08,55.44, ,103,87.11,45.35,73.72,39.26,50.72
0.95,1,0.8,0.65,"BOP2-OC",147.69,90.72,73.54,68.73,55.09,80.79, ,111.05,89.88,70.78,65.51,50.97,77.88, ,131.92,87.72,72.85,67.1,55.23,83.22, ,102.79,87.4,70.98,63.64,51.31,81.01
0.95,1,0.8,0.65,"Dunnett",148,91.33,49.61,71.54,38.36,54.92, ,112,91.51,50.3,60.92,33.1,55.28, ,132,86.94,47.58,70.45,37.72,55.44, ,103,87.11,45.35,62.94,33.86,50.72
0.95,1,0.8,0.65,"BOP2-OC",147.94,92.18,71.39,79.02,59.75,78.54, ,111.56,92.06,69.51,80.62,59.54,76.14, ,131.97,88.94,70.58,76.72,59.41,80.69, ,102.87,89.27,68.7,77.81,58.52,78.24
0.95,1,0.8,0.65,"Dunnett",148,94.48,36.86,85.95,32.63,39.75, ,112,94.57,37.84,81.39,31.52,40.63, ,132,91.26,36.9,83.1,32.8,41.42, ,103,91.18,33.92,80.66,30.41,36.74
